Client,Tot Fil+ GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPFS Force,5088.00,f063869,f0134516,f0134518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPFS Force,5088.00,unknown cn 1 / 38.52%,unknown cn 6 / 31.29%,unknown cn 7 / 30.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPFS Union,5084.00,f089228,f053229,f061959,f066102,f088125,f079285,f019002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPFS Union,5084.00,unknown 2 / 43.90%,unknown 1 / 29.27%,Unknown / 11.09%,Unknown / 9.76%,Unknown / 4.41%,Unknown / 1.26%,Unknown / 0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenzhen Xiaoyu Blockchain Technology,5056.00,f0226324,f0228712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shenzhen Xiaoyu Blockchain Technology,5056.00,unknown cn 9 / 51.90%,unknown na 1 / 48.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海小工蚁电子商务股份有限公司,5056.00,f0364957,f0391143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海小工蚁电子商务股份有限公司,5056.00,unknown cn 10 / 53.16%,unknown cn 11 / 46.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京中电博顺智能设备技术有限公司,5056.00,f0167505,f0226324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京中电博顺智能设备技术有限公司,5056.00,unknown cn 8 / 53.16%,unknown cn 9 / 46.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LandSatFile,5024.00,f047419,f010479,f01240,f014768,f023467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LandSatFile,5024.00,deegee / 22.93%,s0nik42 / 20.38%,Speedium / 19.75%,Unknown / 19.11%,Phi Mining / 17.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wang Liang,4918.27,f023467,f09848,f010479,f01278,f022352,f019551,f064218,f01276,f02401,f02387,f060072,f022142,f08403,f08240,f010505,f040332,f021961,f053088,,,,,,,,,,,,,,,,,,,,,
Wang Liang,4918.27,Phi Mining / 20.82%,bigbear / 15.94%,s0nik42 / 13.34%,stuberman / 9.11%,reiers / 6.51%,Unknown / 6.18%,XinAn Xu / 6.18%,NBFS / 5.86%,NBFS / 3.58%,Unknown / 2.93%,Unknown / 2.89%,Nelson / 2.60%,TippyFlits / 1.30%,Unknown / 0.66%,Unknown / 0.65%,Unknown / 0.65%,Unknown / 0.49%,Unknown / 0.33%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州讯酷科技有限公司,4352.00,f0167505,f0391143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州讯酷科技有限公司,4352.00,unknown cn 8 / 54.41%,unknown cn 11 / 45.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liyiping,4096.00,f0161542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liyiping,4096.00,unknown 3 / 100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai Futures Exchange,3904.00,f0364957,f0228712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai Futures Exchange,3904.00,unknown cn 10 / 52.46%,unknown na 1 / 47.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Askender,3044.00,f07998,f019104,f023467,f01276,f022142,f02387,f02401,f01278,f022352,f019362,f010617,f047419,f062353,f08399,f09848,,,,,,,,,,,,,,,,,,,,,,,,
